County,Raw Address,Notes,Name,source
Franklin,"    7850 Royston Rd, Carnesville GA 30521",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"2231 Campbellton Road, Atlanta, GA 30311",,Adams Park Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"3424 Martin Luther King Jr Drive, Atlanta, GA 30331",,Adamsville/Collier Heights Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,10 Park Plaza Alpharetta GA 30009,,Alpharetta Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"101 Auburn Avenue, NE Atlanta GA 30303",,Auburn Avenue Research Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"269 Buckhead Avenue, NE, Atlanta, GA 30305",,Buckhead Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"47 Cleveland Avenue SW, Atlanta, GA 30315",,Cleveland Avenue Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,3647 Main Street College Park GA 30337,,College Park Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"1838 Donald Lee Hollowell Parkway, Atlanta, GA 30318",,Dogwood Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,2757 Main Street East Point GA 30344,,East Point Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,2301 Holcomb Bridge Road Roswell GA 30076,,East Roswell Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"3665 Cascade Road, SW Atlanta GA 30331",,Evelyn G. Lowery at Cascade,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,60 Valley View Drive Fairburn GA 30213,,Fairburn Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"141 Pryor Street, SW, Atlanta, GA 30303",Boxes located on Peachtree & Pryor,Fulton County Government Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
